first,last,party,state,district
Trent,Kelly,GOP,MS,1
Darin,LaHood,GOP,IL,18
Warren,Davidson,GOP,OH,8
Michael,Grimm,GOP,NY,11
Howard,Coble,GOP,NC,6
Alan,Nunnelee,GOP,MS,1
Aaron,Schock,GOP,IL,18
John,Boehner,GOP,OH,8
Chaka,Fattah,Dem,PA,2
Ed,Whitfield,GOP,KY,1
Gary,Palmer,GOP,AL,6
French,Hill,GOP,AR,2
Bruce,Westerman,GOP,AR,4
Martha,McSally,GOP,AZ,2
Ruben,Gallego,Dem,AZ,7
Mark,DeSaulnier,Dem,CA,11
Steve,Knight,GOP,CA,25
Pete,Aguilar,Dem,CA,31
Ted,Lieu,Dem,CA,33
Norma,Torres,Dem,CA,35
Mimi,Walters,GOP,CA,45
Ken,Buck,GOP,CO,4
Gwen,Graham,Dem,FL,2
Carlos,Curbelo,GOP,FL,26
Buddy,Carter,GOP,GA,1
Jody,Hice,GOP,GA,10
Barry,Loudermilk,GOP,GA,11
Rick,Allen,GOP,GA,12
Mark,Takai,Dem,HI,1
Rod,Blum,GOP,IA,1
David,Young,GOP,IA,3
Mike,Bost,GOP,IL,12
Ralph,Abraham,GOP,LA,5
Garret,Graves,GOP,LA,6
Seth,Moulton,Dem,MA,6
Bruce,Poliquin,GOP,ME,2
John,Moolenaar,GOP,MI,4
Mike,Bishop,GOP,MI,8
Dave,Trott,GOP,MI,11
Debbie,Dingell,Dem,MI,12
Brenda,Lawrence,Dem,MI,14
Tom,Emmer,GOP,MN,6
Ryan,Zinke,GOP,MT,1
David,Rouzer,GOP,NC,7
Brad,Ashford,Dem,NE,2
Tom,MacArthur,GOP,NJ,3
TODO,TODO,Dem,NJ,12
Cresent,Hardy,GOP,NV,4
Lee,Zeldin,GOP,NY,1
Kathleen,Rice,Dem,NY,4
Elise,Stefanik,GOP,NY,21
John,Katko,GOP,NY,24
Steve,Russell,GOP,OK,5
Ryan,Costello,GOP,PA,6
Brendan,Boyle,Dem,PA,13
John,Ratcliffe,GOP,TX,4
Will,Hurd,GOP,TX,23
Brian,Babin,GOP,TX,36
Mia,Love,GOP,UT,4
Donald,Beyer,Dem,VA,8
Barbara,Comstock,GOP,VA,10
Stacey,Plaskett,Dem,VI,
Dan,Newhouse,GOP,WA,4
Glenn,Grothman,GOP,WI,6
Alex,Mooney,GOP,WV,2
Evan,Jenkins,GOP,WV,3
Aumua,Amata,GOP,AS,
